index,filename,mode,mirror_value,scan_start,scan_stop,grating_low,grating_high,stripe_width_px,split_x,grating_axis
53,053_constMirror_gratingHigh_27349.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,27349,2,256,x
54,054_constMirror_gratingHigh_27865.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,27865,2,256,x
55,055_constMirror_gratingHigh_28381.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,28381,2,256,x
56,056_constMirror_gratingHigh_28897.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,28897,2,256,x
57,057_constMirror_gratingHigh_29413.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,29413,2,256,x
58,058_constMirror_gratingHigh_29929.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,29929,2,256,x
59,059_constMirror_gratingHigh_30445.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,30445,2,256,x
60,060_constMirror_gratingHigh_30961.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,30961,2,256,x
61,061_constMirror_gratingHigh_31477.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,31477,2,256,x
62,062_constMirror_gratingHigh_31993.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,31993,2,256,x
63,063_constMirror_gratingHigh_32509.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,32509,2,256,x
64,064_constMirror_gratingHigh_33026.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,33026,2,256,x
65,065_constMirror_gratingHigh_33542.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,33542,2,256,x
66,066_constMirror_gratingHigh_34058.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,34058,2,256,x
67,067_constMirror_gratingHigh_34574.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,34574,2,256,x
68,068_constMirror_gratingHigh_35090.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,35090,2,256,x
69,069_constMirror_gratingHigh_35606.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,35606,2,256,x
70,070_constMirror_gratingHigh_36122.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,36122,2,256,x
71,071_constMirror_gratingHigh_36638.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,36638,2,256,x
72,072_constMirror_gratingHigh_37154.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,37154,2,256,x
73,073_constMirror_gratingHigh_37670.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,37670,2,256,x
74,074_constMirror_gratingHigh_38186.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,38186,2,256,x
75,075_constMirror_gratingHigh_38702.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,38702,2,256,x
76,076_constMirror_gratingHigh_39218.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,39218,2,256,x
77,077_constMirror_gratingHigh_39734.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,39734,2,256,x
78,078_constMirror_gratingHigh_40250.bmp,constant_mirror_scan_grating_contrast,32768,0,65535,0,40250,2,256,x
